outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
18,2537,"Williams, A. VS Whalen, B.","Georgetown University vs Indiana University, Bloomington",,,00:00:04.8,,"Williams, A.","Whalen, B.",B6,3,0,1B-3B,1,3,2,Ball,Fastball,86,"","",Walk,,B,0,6,Georgetown University,"Indiana University, Bloomington",3,20,2
18,2538,"Williams, A. VS Jessee, H.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.1,,"Williams, A.","Jessee, H.",B6,3,0,1B-2B-3B,1,0,0,Strike Taken,Curveball,74,"","",,,B,0,6,Georgetown University,"Indiana University, Bloomington",3,21,3
18,2539,"Williams, A. VS Jessee, H.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.8,,"Williams, A.","Jessee, H.",B6,3,0,1B-2B-3B,1,0,1,Ball,Slider,76,"","",,,B,0,6,Georgetown University,"Indiana University, Bloomington",3,21,3
18,2540,"Williams, A. VS Jessee, H.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.7,,"Williams, A.","Jessee, H.",B6,3,0,1B-2B-3B,1,1,1,Ball,Curveball,73,"","",,,B,0,6,Georgetown University,"Indiana University, Bloomington",3,21,3
18,2541,"Williams, A. VS Jessee, H.","Georgetown University vs Indiana University, Bloomington",,,00:00:06.2,,"Williams, A.","Jessee, H.",B6,3,0,1B-2B-3B,1,2,1,Foul,Fastball,87,"","",,,B,0,6,Georgetown University,"Indiana University, Bloomington",3,21,3
18,2542,"Williams, A. VS Jessee, H.","Georgetown University vs Indiana University, Bloomington",,,00:00:14.9,,"Williams, A.","Jessee, H.",B6,3,0,1B-2B-3B,1,2,2,BIP,Slider,0,Line Drive,Single,,,B,0,6,Georgetown University,"Indiana University, Bloomington",3,21,3
18,2543,"Frye, C. VS Pyne, J.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.0,,"Frye, C.","Pyne, J.",B6,3,2,2B-3B,1,0,0,Strike Taken,Curveball,78,"","",,,B,0,6,Georgetown University,"Indiana University, Bloomington",3,22,4
18,2544,"Frye, C. VS Pyne, J.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.4,,"Frye, C.","Pyne, J.",B6,3,2,2B-3B,1,0,1,Ball,Fastball,91,"","",,,B,0,6,Georgetown University,"Indiana University, Bloomington",3,22,4
18,2545,"Frye, C. VS Pyne, J.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.1,,"Frye, C.","Pyne, J.",B6,3,2,2B-3B,1,1,1,Foul,Curveball,76,"","",,,B,0,6,Georgetown University,"Indiana University, Bloomington",3,22,4
18,2546,"Frye, C. VS Pyne, J.","Georgetown University vs Indiana University, Bloomington",,,00:00:04.9,,"Frye, C.","Pyne, J.",B6,3,2,2B-3B,1,1,2,Foul,Curveball,77,"","",,,B,0,6,Georgetown University,"Indiana University, Bloomington",3,22,4
18,2547,"Frye, C. VS Pyne, J.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.9,,"Frye, C.","Pyne, J.",B6,3,2,2B-3B,1,1,2,Foul,Fastball,91,"","",,,B,0,6,Georgetown University,"Indiana University, Bloomington",3,22,4
18,2548,"Frye, C. VS Pyne, J.","Georgetown University vs Indiana University, Bloomington",,,00:00:04.8,,"Frye, C.","Pyne, J.",B6,3,2,2B-3B,1,1,2,Foul,Curveball,77,"","",,,B,0,6,Georgetown University,"Indiana University, Bloomington",3,22,4
18,2549,"Frye, C. VS Pyne, J.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.3,,"Frye, C.","Pyne, J.",B6,3,2,2B-3B,1,1,2,Ball,Fastball,92,"","",,,B,0,6,Georgetown University,"Indiana University, Bloomington",3,22,4
18,2550,"Frye, C. VS Pyne, J.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.1,,"Frye, C.","Pyne, J.",B6,3,2,2B-3B,1,2,2,Ball,Fastball,92,"","",,,B,0,6,Georgetown University,"Indiana University, Bloomington",3,22,4
18,2551,"Frye, C. VS Pyne, J.","Georgetown University vs Indiana University, Bloomington",,,00:00:04.9,,"Frye, C.","Pyne, J.",B6,3,2,2B-3B,1,3,2,Ball,Fastball,92,"","",Walk,,B,0,6,Georgetown University,"Indiana University, Bloomington",3,22,4
18,2552,"Frye, C. VS Mathison, C.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.3,,"Frye, C.","Mathison, C.",B6,3,2,1B-2B-3B,1,0,0,Ball,Fastball,92,"","",,,B,0,6,Georgetown University,"Indiana University, Bloomington",3,23,5
18,2553,"Frye, C. VS Mathison, C.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.4,,"Frye, C.","Mathison, C.",B6,3,2,1B-2B-3B,1,1,0,Strike Taken,Curveball,76,"","",,,B,0,6,Georgetown University,"Indiana University, Bloomington",3,23,5
18,2554,"Frye, C. VS Mathison, C.","Georgetown University vs Indiana University, Bloomington",,,00:00:06.0,,"Frye, C.","Mathison, C.",B6,3,2,1B-2B-3B,1,1,1,Ball,Changeup,87,"","",,,B,0,6,Georgetown University,"Indiana University, Bloomington",3,23,5
18,2555,"Frye, C. VS Mathison, C.","Georgetown University vs Indiana University, Bloomington",,,00:00:09.7,,"Frye, C.","Mathison, C.",B6,3,2,1B-2B-3B,1,2,1,BIP,Fastball,91,Ground Ball,Groundout,,,B,0,6,Georgetown University,"Indiana University, Bloomington",3,23,5
18,2556,"Frye, C. VS Tibbitts, B.","Georgetown University vs Indiana University, Bloomington",,,00:00:07.9,,"Frye, C.","Tibbitts, B.",B6,3,3,2B-3B,2,0,0,BIP,Fastball,90,Ground Ball,Groundout,,,B,0,6,Georgetown University,"Indiana University, Bloomington",3,24,6
18,2557,"Frye, C. VS Colopy, M.","Georgetown University vs Indiana University, Bloomington",,,00:00:04.9,,"Frye, C.","Colopy, M.",B7,3,3, - ,0,0,0,Strike Taken,Fastball,90,"","",,,B,0,7,Georgetown University,"Indiana University, Bloomington",3,25,7
18,2558,"Frye, C. VS Colopy, M.","Georgetown University vs Indiana University, Bloomington",,,00:00:09.1,,"Frye, C.","Colopy, M.",B7,3,3, - ,0,0,1,BIP,Fastball,91,Ground Ball,Groundout,,,B,0,7,Georgetown University,"Indiana University, Bloomington",3,25,7
