outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,gtown_score,pa_id
17,405,"Tonas, A. VS Bramley, T.",Georgetown University vs Mount St. Mary's University,,,00:00:05.0,,"Tonas, A.","Bramley, T.",B5,0,3, - ,0,1,0,Strike Swinging,Unknown,0,"","",,,B,0,5,0,2
17,406,"Tonas, A. VS Bramley, T.",Georgetown University vs Mount St. Mary's University,,,00:00:05.3,,"Tonas, A.","Bramley, T.",B5,0,3, - ,0,1,1,Ball,Unknown,0,"","",,,B,0,5,0,2
17,407,"Tonas, A. VS Bramley, T.",Georgetown University vs Mount St. Mary's University,,,00:00:04.9,,"Tonas, A.","Bramley, T.",B5,0,3, - ,0,2,1,Strike Taken,Unknown,0,"","",,,B,0,5,0,2
17,408,"Tonas, A. VS Bramley, T.",Georgetown University vs Mount St. Mary's University,,,00:00:05.1,,"Tonas, A.","Bramley, T.",B5,0,3, - ,0,2,2,Foul,Unknown,0,"","",,,B,0,5,0,2
17,409,"Tonas, A. VS Bramley, T.",Georgetown University vs Mount St. Mary's University,,,00:00:11.0,,"Tonas, A.","Bramley, T.",B5,0,3, - ,0,2,2,BIP,Unknown,0,Ground Ball,Groundout,,,B,0,5,0,2
17,410,"Tonas, A. VS Grodell, T.",Georgetown University vs Mount St. Mary's University,,,00:00:07.9,,"Tonas, A.","Grodell, T.",B5,0,3, - ,1,0,0,Ball,Unknown,0,"","",,,B,0,5,0,3
17,411,"Tonas, A. VS Grodell, T.",Georgetown University vs Mount St. Mary's University,,,00:00:04.9,,"Tonas, A.","Grodell, T.",B5,0,3, - ,1,1,0,Ball,Unknown,0,"","",,,B,0,5,0,3
17,412,"Tonas, A. VS Grodell, T.",Georgetown University vs Mount St. Mary's University,,,00:00:05.1,,"Tonas, A.","Grodell, T.",B5,0,3, - ,1,2,0,Strike Taken,Unknown,0,"","",,,B,0,5,0,3
17,413,"Tonas, A. VS Grodell, T.",Georgetown University vs Mount St. Mary's University,,,00:00:05.3,,"Tonas, A.","Grodell, T.",B5,0,3, - ,1,2,1,Foul,Unknown,0,"","",,,B,0,5,0,3
17,414,"Tonas, A. VS Grodell, T.",Georgetown University vs Mount St. Mary's University,,,00:00:06.6,,"Tonas, A.","Grodell, T.",B5,0,3, - ,1,2,2,Strike Taken,Unknown,0,"","",Strikeout,,B,0,5,0,3
17,415,"Tonas, A. VS Drawbaugh, B.",Georgetown University vs Mount St. Mary's University,,,00:00:05.4,,"Tonas, A.","Drawbaugh, B.",B5,0,3, - ,2,0,0,Ball,Unknown,0,"","",,,B,0,5,0,4
17,416,"Tonas, A. VS Drawbaugh, B.",Georgetown University vs Mount St. Mary's University,,,00:00:05.0,,"Tonas, A.","Drawbaugh, B.",B5,0,3, - ,2,1,0,Ball,Unknown,0,"","",,,B,0,5,0,4
17,417,"Tonas, A. VS Drawbaugh, B.",Georgetown University vs Mount St. Mary's University,,,00:00:12.0,,"Tonas, A.","Drawbaugh, B.",B5,0,3, - ,2,2,0,BIP,Unknown,0,Fly Ball,Flyout,,,B,0,5,0,4
17,418,"Tonas, A. VS Long, T.",Georgetown University vs Mount St. Mary's University,,,00:00:05.6,,"Tonas, A.","Long, T.",B6,1,3, - ,0,0,0,Ball,Unknown,0,"","",,,B,0,6,1,5
17,419,"Tonas, A. VS Long, T.",Georgetown University vs Mount St. Mary's University,,,00:00:04.7,,"Tonas, A.","Long, T.",B6,1,3, - ,0,1,0,Ball,Unknown,0,"","",,,B,0,6,1,5
17,420,"Tonas, A. VS Long, T.",Georgetown University vs Mount St. Mary's University,,,00:00:04.9,,"Tonas, A.","Long, T.",B6,1,3, - ,0,2,0,Ball,Unknown,0,"","",,,B,0,6,1,5
17,421,"Tonas, A. VS Long, T.",Georgetown University vs Mount St. Mary's University,,,00:00:06.1,,"Tonas, A.","Long, T.",B6,1,3, - ,0,3,0,Strike Taken,Unknown,0,"","",,,B,0,6,1,5
17,422,"Tonas, A. VS Long, T.",Georgetown University vs Mount St. Mary's University,,,00:00:05.3,,"Tonas, A.","Long, T.",B6,1,3, - ,0,3,1,Foul,Unknown,0,"","",,,B,0,6,1,5
17,423,"Tonas, A. VS Long, T.",Georgetown University vs Mount St. Mary's University,,,00:00:05.6,,"Tonas, A.","Long, T.",B6,1,3, - ,0,3,2,Ball,Unknown,0,"","",Walk,,B,0,6,1,5
